# performed: 3719564 steps
# collection matrix updated: 37 times
# minimum microstate: 0
# maximum microstate: 70
# column 1: N
# column 2: CM[-1]
# column 3: CM[ 0]0
# column 4: CM[+1]
# column 5: bias
# column 6: lnpi
# column 7: forward lnpi
# column 8: reverse lnpi
# column 9: histogram
N CM[-1] CM[0] CM[1] bias lnpi Forward_lnpi Reverse_lnpi histogram
0 0 39386 13447 21.930079977262736 -21.930079977262736 0 0 52833
1 676.6139734745287 36178.38602652631 12139 19.014576891115617 -19.014576891115617 -1.367664389311539 2.915503086147117 48994
2 1321.3768379782712 35301.62316202181 12520 16.794509716396448 -16.794509716396448 1.5198619948550967 5.135570260866288 49143
3 1985.5161108000557 35093.4838891999 12759 14.939762430207638 -14.939762430207638 3.768733384874931 6.9903175470550964 49838
4 2655.7255042084666 35081.27449579173 12513 13.361734683051848 -13.361734683051848 5.626808678231365 8.568345294210886 50250
5 3328.277028325909 34742.72297167429 12718 12.027034120583203 -12.027034120583203 7.178475842416567 9.903045856679531 50789
6 4105.418398508617 36066.581601491234 13311 10.846188994534462 -10.846188994534462 8.51796091330309 11.083890982728272 53483
7 5340.338308274664 40245.66169172543 15348 9.803033573275897 -9.803033573275897 9.692773962830062 12.127046403986837 60934
8 5602.844303241668 36687.15569675838 14186 8.871886403648954 -8.871886403648954 10.74831853270627 13.05819357361378 56476
9 5843.034808157515 34202.96519184232 13525 8.038047935180764 -8.038047935180764 11.676054034401734 13.89203204208197 53571
10 6337.425370259535 33347.74013989398 13302.834489846458 7.290058209855101 -7.290058209855101 12.515755586710942 14.640021767407633 52988
11 6761.906122610397 32210.437510066287 13034.656367323227 6.63019248243554 -6.63019248243554 13.259279564230543 15.299887494827194 52007
12 7313.39657057344 31910.191994425168 13123.41143500149 6.0466064723769755 -6.0466064723769755 13.915481228935514 15.883473504885758 52347
13 7647.358513245354 31422.25783557634 13125.383651178227 5.508357531491017 -5.508357531491017 14.500355548010313 16.421722445771717 52195
14 8251.618308406623 31352.903341988007 13311.478349605439 5.030313450562302 -5.030313450562302 15.040695696315332 16.899766526700432 52916
15 8758.814691631153 30523.303774362237 12892.881534006625 4.625251844406842 -4.625251844406842 15.52001089884724 17.304828132855892 52175
16 8930.100372193236 29832.62189107873 12810.277736727887 4.269562654535411 -4.269562654535411 15.906322846914607 17.660517322727323 51573
17 9606.586075959558 29626.456288993977 12717.957635046469 3.9740597904089854 -3.9740597904089854 16.268055114351277 17.95602018685375 51951
18 10102.018005440565 29970.23034610836 12828.75164845102 3.7246421570238 -3.7246421570238 16.54912341109128 18.205437820238934 52901
19 10516.627264359035 29956.3650519962 13181.00768364462 3.5108605073488506 -3.5108605073488506 16.79022774825311 18.419219469913884 53654
20 10830.574374569716 29795.99176494665 12900.433860483492 3.315756522676056 -3.315756522676056 17.01634451208168 18.61432345458668 53527
21 11146.551612621653 30067.515040680588 12688.933346697671 3.163632067325436 -3.163632067325436 17.191142184413366 18.7664479099373 53903
22 11359.273041254532 29764.166457654195 12500.560501091142 3.0582096215056738 -3.0582096215056738 17.320097677039954 18.87187035575706 53624
23 11551.07265805514 29755.303026074354 12427.624315870387 2.9769540686415525 -2.9769540686415525 17.415788488330925 18.953125908621182 53734
24 11730.128979433368 30293.760308176643 12637.110712390016 2.9021525684707954 -2.9021525684707954 17.488709898479655 19.02792740879194 54661
25 12206.626663982042 30664.938212462774 12468.435123555268 2.855508153924083 -2.855508153924083 17.56319181806225 19.07457182333865 55340
26 12435.374983250898 30907.712567948645 12568.912448800553 2.8441457618269994 -2.8441457618269994 17.583687266242862 19.085934215435735 55912
27 12697.659921833903 31196.428601844516 12588.911476321706 2.8446754170922994 -2.8446754170922994 17.593153286587324 19.085404560170435 56483
28 12729.763965496926 31560.972317316362 12388.263717186706 2.852914195163996 -2.852914195163996 17.583794810839784 19.07716578209874 56679
29 12988.233552118834 31821.010813167595 12108.755634713454 2.8952302746294287 -2.8952302746294287 17.556855231357932 19.034849702633306 56918
30 12971.014585709638 31296.298258451552 11864.687155838697 2.9784841002846343 -2.9784841002846343 17.48734658814783 18.9515958769781 56132
31 12561.590829943349 30559.150098553924 11330.259071502951 3.0663455077061728 -3.0663455077061728 17.39705039759935 18.86373446955656 54451
32 12283.925376933938 30287.121063183455 10998.953559882426 3.162528164313232 -3.162528164313232 17.294230978172124 18.767551812949502 53570
33 11978.097874654104 29348.203519862283 10684.698605483525 3.2780549280887024 -3.2780549280887024 17.184502637897864 18.652025049174032 52011
34 11826.545080818658 28860.993697668207 10147.461221513187 3.4051919389747405 -3.4051919389747405 17.06736031628767 18.524888038287994 50835
35 11448.015279009955 28559.46781444826 9980.51690654192 3.542379791167362 -3.542379791167362 16.913217006538858 18.387700186095373 49988
36 11769.109769837738 28206.533285708832 9892.35694445338 3.7104122188804802 -3.7104122188804802 16.775740816321406 18.219667758382254 49868
37 11789.472686726327 28438.341930766586 9707.185382507223 3.883532373604068 -3.883532373604068 16.602344899235124 18.046547603658667 49934
38 11815.364130006057 29140.699378089834 9818.936491904113 4.063306007039577 -4.063306007039577 16.408546345582742 17.866773970223157 50775
39 11821.389054344836 29355.49219327565 9739.118752379334 4.245437247281865 -4.245437247281865 16.224451849844314 17.68464272998087 50916
40 11766.943395277602 28781.200177467446 9362.856427255061 4.455233128963995 -4.455233128963995 16.03063160169362 17.47484684829874 49911
41 11686.015596981424 28959.51180088754 9250.472602131105 4.676234163752808 -4.676234163752808 15.802144259957913 17.253845813509926 49896
42 11731.52210592317 29057.051212462 9282.426681614703 4.909124478942081 -4.909124478942081 15.569193418571233 17.020955498320653 50071
43 11803.946339924667 29305.21979225219 9200.83386782317 5.142968863584747 -5.142968863584747 15.335895127677938 16.787111113677987 50310
44 11604.610626677299 28673.677947699096 8903.711425623665 5.3981862290563765 -5.3981862290563765 15.088268749612487 16.531893748206357 49182
45 11395.735170376534 29252.66282994026 8892.6019996833 5.636159630163474 -5.636159630163474 14.823881533311024 16.29392034709926 49541
46 11860.795659840242 30010.85895598905 9195.345384170672 5.893222488844808 -5.893222488844808 14.577000968603025 16.036857488417926 51067
47 12113.210270379674 30836.451776699883 9071.33795292056 6.151385870608403 -6.151385870608403 14.321721951068673 15.778694106654331 52021
48 11944.400103169124 30509.17145739374 9215.428439437017 6.432958812307154 -6.432958812307154 14.031993952811309 15.49712116495558 51669
49 11845.57723189295 30395.646763207915 9084.776004899002 6.689989777441847 -6.689989777441847 13.77324210347541 15.240090199820887 51326
50 12099.89005524281 30363.79805460591 9004.311890151404 6.974411357405268 -6.974411357405268 13.50826046540917 14.955668619857466 51468
51 11916.55217640854 30197.811276661476 8666.636546929836 7.268449591182492 -7.268449591182492 13.212954899029599 14.661630386080242 50781
52 12163.640977093444 30768.228443338037 8824.130579568478 7.589899563131286 -7.589899563131286 12.892917042431002 14.340180414131448 51756
53 11785.494381264694 29828.197158398976 8592.308460336297 7.909307456858121 -7.909307456858121 12.571443279317366 14.020772520404613 50207
54 11725.055724366734 30028.028863486903 8579.915412146234 8.218178691451888 -8.218178691451888 12.255166475296374 13.711901285810846 50333
55 11511.466270302048 30010.69389163531 8491.839838062691 8.518719101390511 -8.518719101390511 11.942374287739316 13.411360875872223 50014
56 11560.912347713649 30096.55010338291 8483.537548903361 8.824392435590248 -8.824392435590248 11.638548307198436 13.105687541672486 50141
57 11236.844981743325 29886.642765239045 8278.512253017963 9.119138621635216 -9.119138621635216 11.329562109637235 12.810941355627518 49402
58 11290.381956533874 29683.055657803347 8249.56238566287 9.433835259551122 -9.433835259551122 11.024531291018198 12.496244717711612 49223
59 11375.424731547633 29749.29945560485 8132.275812847646 9.754741663064548 -9.754741663064548 10.709684896614718 12.175338314198186 49257
60 11596.262698377797 30372.402114371198 8282.335187251043 10.089197540345953 -10.089197540345953 10.373930563620068 11.84088243691678 50251
61 11556.840343522867 30323.644346080782 8315.515310396313 10.423487915352307 -10.423487915352307 10.037507521376954 11.506592061910426 50196
62 11492.890118534011 31215.494862212145 8405.615019253946 10.72960095476846 -10.72960095476846 9.70870603869698 11.200479022494275 51114
63 11554.857378513627 30872.07230335378 8244.07031813266 11.056661682736205 -11.056661682736205 9.394485233825277 10.873418294526529 50671
64 11436.979368284758 30534.26629141756 8113.754340297778 11.395979371797775 -11.395979371797775 9.057611108153715 10.534100605464959 50085
65 11463.2752739223 30495.663274274248 8035.061451803566 11.742216185198615 -11.742216185198615 8.71460496387083 10.18786379206412 49994
66 11401.306178737046 30646.954741543777 8212.73907971919 12.086891639233848 -12.086891639233848 8.359709292102657 9.843188338028886 50261
67 11389.89690558064 31024.638932157453 8247.464162261756 12.405051044800455 -12.405051044800455 8.032068973449627 9.525028932462279 50662
68 15550.31794929357 41709.262663562484 10873.419387143997 12.743023337379029 -12.743023337379029 7.709860690898648 9.187056639883705 68133
69 13951.562705311137 38375.50754520992 9847.929749478837 13.08348858615127 -13.08348858615127 7.351984614546792 8.846591391111463 62175
70 13124.738648536779 35881.67055846068 9160.590793002611 13.43691917943203 -13.43691917943203 7.004178012753034 8.493160797830704 58167
