# performed: 12004153 steps
# collection matrix updated: 120 times
# minimum microstate: 70
# maximum microstate: 140
# column 1: N
# column 2: CM[-1]
# column 3: CM[ 0]0
# column 4: CM[+1]
# column 5: bias
# column 6: lnpi
# column 7: forward lnpi
# column 8: reverse lnpi
# column 9: histogram
N CM[-1] CM[0] CM[1] bias lnpi Forward_lnpi Reverse_lnpi histogram
70 50127.62166516907 130826.76178381078 31442.616551019244 0.982317966490773 -0.982317966490773 0 0 212396
71 46210.126184151195 121933.77628932442 28962.09752652433 1.4419836407806867 -1.4419836407806867 -1.9101971961299942 -0.4596656742899139 197106
72 44353.54224828356 116745.31087817109 27529.14687354626 1.912054402460364 -1.912054402460364 -2.3773804384442165 -0.9297364359695912 188628
73 42945.82855231301 113784.8699533415 26665.301494345673 2.384827761698431 -2.384827761698431 -2.8541093177877066 -1.4025097952076582 183396
74 42212.020410092664 112327.27626849622 26070.70332141043 2.8596662709518457 -2.8596662709518457 -3.3310226457965832 -1.8773483044610728 180610
75 41783.13320103794 110406.22660881036 25871.640190151298 3.3456397286565016 -3.3456397286565016 -3.8127559267663784 -2.3633217621657288 178061
76 41538.199124241866 110221.21902023879 25375.581855518536 3.8244058369042877 -3.8244058369042877 -4.292408592936299 -2.842087870413515 177136
77 41298.921934073915 109879.36252144419 25550.71554448134 4.313299438386035 -4.313299438386035 -4.784838808311116 -3.330981471895262 176729
78 41378.27532420247 110561.8161984738 25352.908477323264 4.792326164640547 -4.792326164640547 -5.2650381979507745 -3.8100081981497738 177293
79 41996.07971342856 111581.10330324234 25642.816983329383 5.28629756881086 -5.28629756881086 -5.755147428686595 -4.303979602320087 179220
80 41297.27921561944 111764.16146403408 25520.559320345466 5.766297768794115 -5.766297768794115 -6.248379319614665 -4.783979802303342 178582
81 40844.181074708955 109927.95915670581 25010.859768584098 6.252171679018379 -6.252171679018379 -6.729375578896805 -5.269853712527606 175783
82 40369.22131204576 109681.21610803966 24677.562579914273 6.7370416162136655 -6.7370416162136655 -7.219734647792912 -5.754723649722893 174728
83 39588.82276474441 108037.63927297208 24265.537962282942 7.226131156183455 -7.226131156183455 -7.712064234443956 -6.243813189692682 171892
84 42852.57405199954 117319.35548879804 26340.070459202387 7.7133107228143105 -7.7133107228143105 -8.201647000541701 -6.730992756323538 186512
85 41331.84320950982 111613.68510697488 25121.47168351592 8.210644489235321 -8.210644489235321 -8.68843890680205 -7.228326522744547 178067
86 39769.16418152871 108782.20630416805 24223.629514303728 8.700221881144042 -8.700221881144042 -9.186818194214782 -7.717903914653268 172775
87 38847.47717842651 106680.93488989255 23706.587931680628 9.19319671311658 -9.19319671311658 -9.682348849795186 -8.210878746625806 169235
88 38194.990032200636 106805.98969452972 23603.020273269798 9.673703139842011 -9.673703139842011 -10.176346389411675 -8.691385173351238 168604
89 38043.849685949215 104653.72984208094 22919.42047196978 10.168834734056242 -10.168834734056242 -10.657528359669048 -9.186516767565468 165617
90 38003.62472925167 105360.45964490164 23005.91562584671 10.669710935056397 -10.669710935056397 -11.16426167292882 -9.687392968565623 166370
91 37825.595772430344 105028.3412151464 22765.063012423645 11.171147563308025 -11.171147563308025 -11.665678291193329 -10.188829596817252 165619
92 37800.989732768685 105375.54564344161 22869.464623788554 11.675643099713861 -11.675643099713861 -12.173306574554136 -10.693325133223087 166046
93 37040.50962794414 104846.26209223137 22882.22827982355 12.165502510218351 -12.165502510218351 -12.675771715029724 -11.183184543727577 164769
94 37201.31058749071 104969.80632342272 22593.88308908596 12.651556586672532 -12.651556586672532 -13.157422762601179 -11.669238620181758 164765
95 37336.19908603663 105041.25579778296 22939.545116180303 13.15045957470068 -13.15045957470068 -13.656037604049024 -12.168141608209906 165317
96 37799.85629937341 106369.10644712596 22914.037253499493 13.639281215259164 -13.639281215259164 -14.143160496794213 -12.65696324876839 167083
97 37651.358054812656 106877.89069763011 23044.751247555818 14.132934025345994 -14.132934025345994 -14.64371007681088 -13.15061605885522 167574
98 37609.27863193947 106922.04972964084 22804.671638418993 14.624116684753249 -14.624116684753249 -15.134525972192316 -13.641798718262475 167336
99 37313.306791983036 107236.01139831847 22877.681809698708 15.115918501927327 -15.115918501927327 -15.63479795732386 -14.133600535436553 167427
100 37315.498160184245 106053.30405721045 22528.197782605752 15.614345722203357 -15.614345722203357 -16.12398612893637 -14.632027755712583 165897
101 36622.829102934076 105884.85172600989 22471.319171055846 16.105798675570984 -16.105798675570984 -16.628627110213205 -15.123480709080212 164979
102 36607.99876160204 106621.3925260236 22716.60871237389 16.587981403767184 -16.587981403767184 -17.1170591095775 -15.605663437276412 165946
103 37339.06416873375 106755.45817729167 22379.477653974496 17.081748454000575 -17.081748454000575 -17.594229553214475 -16.099430487509803 166474
104 36943.253642078475 107688.82998578573 22765.916372135845 17.577452071761055 -17.577452071761055 -18.10612526582726 -16.595134105270283 167398
105 37384.9179243896 108507.1740680897 22712.908007520607 18.066270418699467 -18.066270418699467 -18.590243794293315 -17.083952452208695 168605
106 37181.35272689275 109059.4435411957 22935.203731910675 18.555763493928318 -18.555763493928318 -19.088577755758777 -17.573445527437546 169176
107 37318.82783577806 109593.56745766466 22954.604706557395 19.038512265146306 -19.038512265146306 -19.571712109554213 -18.056194298655534 169867
108 37768.81517714519 111910.83996542593 23291.34485743037 19.518369302295643 -19.518369302295643 -20.057691519377364 -18.53605133580487 172971
