# performed: 46497058 steps
# collection matrix updated: 464 times
# minimum microstate: 350
# maximum microstate: 420
# column 1: N
# column 2: CM[-1]
# column 3: CM[ 0]0
# column 4: CM[+1]
# column 5: bias
# column 6: lnpi
# column 7: forward lnpi
# column 8: reverse lnpi
# column 9: histogram
N CM[-1] CM[0] CM[1] bias lnpi Forward_lnpi Reverse_lnpi histogram
350 10289.219263992709 440735.7167554066 8832.063980607927 1.7703281064285037 -1.7703281064285037 0 0 459856
351 10088.684761803437 442939.6099846493 8709.705253556967 1.899271788879399 -1.899271788879399 -3.9525268378983274 -0.12894368245089538 461738
352 9827.851089751019 438815.0851707727 8321.063739487883 2.0304809413920752 -2.0304809413920752 -4.0995033628168915 -0.2601528349635718 456964
353 10008.255307274894 450701.20060450485 8303.5440882347 2.1892349581750716 -2.1892349581750716 -4.266019638467794 -0.41890685174656817 469013
354 10080.122549516627 456964.7188388213 8025.158611671127 2.3703330201245594 -2.3703330201245594 -4.453104759941441 -0.6000049136960559 475070
355 9876.272001572159 457162.94715403754 7979.780844403943 2.5784178403439357 -2.5784178403439357 -4.681072685265502 -0.8080897339154323 475019
356 9710.790912677407 454754.58331289195 7607.625774440676 2.7816723349255374 -2.7816723349255374 -4.895179152488183 -1.011344228497034 472073
357 9472.307689621428 459773.75963102514 7602.932679358935 2.9911838937240462 -2.9911838937240462 -5.139866941799928 -1.2208557872955428 476849
358 9447.15902365493 461796.8388139812 7192.002162368011 3.2055313836233283 -3.2055313836233283 -5.359663293708849 -1.4352032771948249 478436
359 9328.162231526412 463199.7398066131 6939.097961879829 3.4633335197623873 -3.4633335197623873 -5.633018355937679 -1.6930054133338839 479467
360 9345.953976525238 470535.87869482156 6847.167328665394 3.7463103471173183 -3.7463103471173183 -5.928673748347093 -1.9759822406888148 486729
361 9394.221830347737 479924.6958719687 6867.082297684827 4.043944546736399 -4.043944546736399 -6.2404373929834875 -2.2736164403078956 496186
362 9306.777596143766 481730.60980108025 6591.612602788158 4.344949751509868 -4.344949751509868 -6.553707677832627 -2.574621645081365 497629
363 9578.575299604314 504633.0718196049 6627.35288080216 4.673365950556518 -4.673365950556518 -6.899119716105888 -2.903037844128015 520839
364 9636.46889783465 512146.04512094276 6646.485981240661 5.032585561085306 -5.032585561085306 -7.266817423386705 -3.262257454656803 528429
365 9525.61003582612 519382.8515667307 6260.538397452776 5.3794237170230454 -5.3794237170230454 -7.637676416013878 -3.609095610594542 535169
366 9699.88394850868 532440.3489383868 6348.7671131121915 5.79345594872195 -5.79345594872195 -8.05802109853372 -4.023127842293446 548489
367 9716.791342885217 545931.56512881 6292.643528328161 6.1950559199083015 -6.1950559199083015 -8.482365105326952 -4.424727813479798 561941
368 9716.039471611904 552189.6749353207 6332.285593074454 6.618541229917104 -6.618541229917104 -8.916832111804737 -4.8482131234886 568238
369 9348.139700266325 548329.2727981139 6128.587501638106 7.016349257963323 -7.016349257963323 -9.345198060154372 -5.246021151534819 563806
370 9578.56965291812 560432.9308509979 6009.499496091629 7.442542012378028 -7.442542012378028 -9.767676333060322 -5.6722139059495245 576022
371 9764.517596057729 582155.5208789397 5899.961525015351 7.890170064034314 -7.890170064034314 -10.234947675464758 -6.119841957605811 597820
372 9808.504369127386 587725.0342185126 5751.461412371882 8.390375415473608 -8.390375415473608 -10.73808983290985 -6.620047309045104 603285
373 9549.946731980326 581129.3970260783 5394.6562419520915 8.908803146796563 -8.908803146796563 -11.272110246411232 -7.138475040368059 596074
374 9088.408906409328 565047.73821527 5286.852878333212 9.460171144491278 -9.460171144491278 -11.844764728639179 -7.689843038062774 579423
