# performed: 20737993 steps
# collection matrix updated: 207 times
# minimum microstate: 140
# maximum microstate: 210
# column 1: N
# column 2: CM[-1]
# column 3: CM[ 0]0
# column 4: CM[+1]
# column 5: bias
# column 6: lnpi
# column 7: forward lnpi
# column 8: reverse lnpi
# column 9: histogram
N CM[-1] CM[0] CM[1] bias lnpi Forward_lnpi Reverse_lnpi histogram
140 54316.393081369875 206227.3807098906 42221.226208741056 1.5871278106302285 -1.5871278106302285 0 0 302765
141 53599.82285520841 206163.5153056697 41787.661839121225 1.8298552830747408 -1.8298552830747408 -1.9701649165790673 -0.24272747244451232 301551
142 52453.59326051988 202959.95646263188 41581.450276846204 2.072272036973894 -2.072272036973894 -2.2192380897737127 -0.4851442263436656 296994
143 51785.00361584938 201259.67368961498 41222.32269454029 2.300868406182289 -2.300868406182289 -2.451021057516664 -0.7137405955520606 294267
144 52065.78356241986 203080.84001974235 41332.376417837484 2.5274531422602013 -2.5274531422602013 -2.6795024332973583 -0.9403253316299729 296479
145 51540.29763173653 203566.09495630054 40871.60741196136 2.7501990382155714 -2.7501990382155714 -2.910787740310573 -1.163071227585343 295978
146 51238.432887784 201947.9257619628 40647.641350252736 2.9836948075703553 -2.9836948075703553 -3.142984826345879 -1.3965669969401269 293834
147 51195.7899743067 202202.7980332578 40572.411992436304 3.2137629476638097 -3.2137629476638097 -3.374445514740424 -1.6266351370335812 293971
148 50823.677254935996 203102.493926871 40690.828818193615 3.4367098535588543 -3.4367098535588543 -3.6068635773604516 -1.8495820429286258 294617
149 50547.878355721485 202412.13383599406 40885.98780828554 3.656151205351474 -3.656151205351474 -3.8290859393935417 -2.0690233947212455 293846
150 50545.46145330171 203530.56232635857 40581.97622034132 3.8654680047857255 -3.8654680047857255 -4.041289609464728 -2.278340194155497 294658
151 49973.53636333154 202617.0629634313 40559.4006732346 4.078882388595302 -4.078882388595302 -4.261181918717076 -2.4917545779650734 293150
152 49285.83248648971 202146.98382810596 39883.18368540522 4.280041572284448 -4.280041572284448 -4.469834427758977 -2.6929137616542196 291316
153 49483.21893055367 202394.71188445506 40118.0691849873 4.493376023938719 -4.493376023938719 -4.6813710982212005 -2.9062482133084906 291996
154 48993.12635590364 202753.3973850898 39766.476259008006 4.694644354557294 -4.694644354557294 -4.891041589005107 -3.1075165439270656 291513
155 48612.929097555454 201742.09608627815 39525.974816167174 4.901354501525811 -4.901354501525811 -5.099559629522462 -3.314226690895582 289881
156 47870.02236257069 200060.36942200086 39052.60821542975 5.102836337554981 -5.102836337554981 -5.306925239243194 -3.5157085269247528 286983
157 47397.620965198825 199339.88395028948 38783.4950845109 5.301330825241951 -5.301330825241951 -5.510070115709752 -3.714203014611723 285521
158 47511.01755104727 200746.6825302307 39092.29991872422 5.497907679327525 -5.497907679327525 -5.710442680628049 -3.910779868697297 287350
159 46939.567933839295 201721.14174539075 39444.290320769534 5.678712362045545 -5.678712362045545 -5.9055681937715345 -4.091584551415316 288105
160 47069.25412977171 200833.3908301496 38777.35504007956 5.860084779754265 -5.860084779754265 -6.079835642238759 -4.272956969124037 286680
161 46707.43934515114 200861.5982134095 38734.962441439246 6.047745804032687 -6.047745804032687 -6.273729886209404 -4.460617993402458 286304
162 46204.6955840983 199201.76884248966 38391.53557341415 6.233347656612965 -6.233347656612965 -6.461325560601077 -4.646219845982737 283798
163 45423.521552482925 199573.4128911378 38233.06555637773 6.4039978081522 -6.4039978081522 -6.647008207498098 -4.816869997521971 283230
164 46179.21868453221 202176.71328117527 38528.06803429155 6.579526118795378 -6.579526118795378 -6.81906576152967 -4.99239830816515 286884
165 45437.07078266849 202033.2470600028 38615.682157327275 6.747376869499439 -6.747376869499439 -7.000193494216985 -5.16024905886921 286086
166 45314.55867191779 199727.04389368265 38059.397434397004 6.917409497145208 -6.917409497145208 -7.162845338536627 -5.330281686514979 283101
167 44926.65346436644 198324.41685064335 37431.92968499008 7.091905463966842 -7.091905463966842 -7.336836911123362 -5.504777653336614 280683
168 44590.253263592116 200112.14950067026 37629.59723573678 7.261165218595284 -7.261165218595284 -7.519635371062025 -5.674037407965056 282332
169 44221.96799448231 199046.1016610538 37322.93034446332 7.428835282689963 -7.428835282689963 -7.68938246079521 -5.841707472059735 280591
170 43438.310135954365 197652.79155276314 36831.89831128361 7.589705479337663 -7.589705479337663 -7.858883117249029 -6.002577668707435 277923
171 42867.130596088515 196544.3321856567 36668.53721825298 7.74838230986488 -7.74838230986488 -8.023715637589996 -6.161254499234651 276080
172 43047.88346416517 196338.0772227636 36550.03931306734 7.909263312226749 -7.909263312226749 -8.18030995664348 -6.32213550159652 275936
173 43329.734590867905 199357.31673788984 37186.948671242775 8.06532633929492 -8.06532633929492 -8.343473142675537 -6.4781985286646915 279874
174 43315.56608830769 200761.2067366011 37404.22717508962 8.211765095810632 -8.211765095810632 -8.496473053608453 -6.624637285180404 281481
175 43602.28267518633 202609.98747337 37320.7298514468 8.35765243370773 -8.35765243370773 -8.642761032450881 -6.770524623077501 283533
176 43794.09547828571 204514.99153827378 37456.91298344206 8.509953891504098 -8.509953891504098 -8.798674324862553 -6.92282608087387 285766
177 42802.53352227803 201602.8219873042 37085.64449041657 8.658072612215761 -8.658072612215761 -8.954529458955268 -7.070944801585533 281491
178 43161.10019523654 203907.87003671887 37116.0297680452 8.800362477038176 -8.800362477038176 -9.097839968528918 -7.213234666407947 284186
179 43074.791155107094 205656.31323442693 37642.89561046941 8.941218904430436 -8.941218904430436 -9.24865211234161 -7.354091093800207 286374
180 42795.500786574354 205951.65772247664 37598.84149094994 9.069609147247771 -9.069609147247771 -9.383115031329616 -7.482481336617543 286346
181 42794.210156672234 207424.37299566081 37538.41684766786 9.193531398968751 -9.193531398968751 -9.512333297012798 -7.606403588338523 287757
182 42755.42555858916 208486.26320667763 37944.311234731635 9.318495117074525 -9.318495117074525 -9.643041091246666 -7.731367306444296 289186
183 42818.69290882676 209999.67382161343 37591.63326956276 9.434913082143419 -9.434913082143419 -9.762093879896861 -7.847785271513191 290410
184 42704.05065063748 209718.8297942453 37389.11955511717 9.564603689451072 -9.564603689451072 -9.892271793793652 -7.977475878820844 289812
185 43180.885340629124 212362.03367712343 38062.08098224592 9.695433099796379 -9.695433099796379 -10.025334711548226 -8.10830528916615 293605
186 42767.39177091018 212307.26569200092 37796.342537090204 9.814351837124685 -9.814351837124685 -10.15118442610148 -8.227224026494456 292871
187 42684.80835177965 215425.5679192315 38121.623728991006 9.924949214470438 -9.924949214470438 -10.27497250118791 -8.33782140384021 296232
188 42959.11239856997 216055.35745857927 38137.53014285212 10.04128040967795 -10.04128040967795 -10.388069850897308 -8.454152599047722 297152
189 42885.05772411185 216884.18803299175 38197.75424290078 10.15545230461764 -10.15545230461764 -10.507038125890137 -8.568324493987411 297967
190 42265.852364517494 214998.23173099416 37589.915904486996 10.267004278764533 -10.267004278764533 -10.622542417238492 -8.679876468134305 294854
191 41840.65305553365 214594.6068771337 37474.740067334606 10.377099937591554 -10.377099937591554 -10.73946332043352 -8.789972126961326 293910
192 41834.94482456758 217261.88887302534 37781.166302405545 10.47690021798005 -10.47690021798005 -10.849465370504323 -8.889772407349822 296878
193 41845.43450985662 215477.52447780067 37504.04101234184 10.585900994001406 -10.585900994001406 -10.95127352410083 -8.998773183371178 294827
194 42100.7699930668 217154.8803807815 37231.349626150644 10.695821565898958 -10.695821565898958 -11.060739886076247 -9.10869375526873 296487
195 43207.31476425358 229261.84665449118 39429.83858125449 10.793916205126544 -10.793916205126544 -11.183507571946997 -9.206788394496316 311899
196 41324.930165270074 218906.3717982623 37611.69803646859 10.886983791516675 -10.886983791516675 -11.274970655396656 -9.299855980886447 297843
197 40770.05093118723 217027.51088230204 37162.43818651232 10.977370984524217 -10.977370984524217 -11.36915046681056 -9.390243173893989 294960
198 41061.732856541516 218682.27322399212 37064.993919465334 11.070887822553264 -11.070887822553264 -11.461782065685949 -9.483760011923035 296809
199 40824.10488409108 220830.4993477525 37318.3957681592 11.160199552935792 -11.160199552935792 -11.564152297679936 -9.573071742305563 298973
200 40699.584019579816 220801.7655754064 37419.65040500955 11.247104979352368 -11.247104979352368 -11.653938621408132 -9.65997716872214 298921
201 41082.246713048415 224418.19856510783 37562.55472184131 11.326723695487608 -11.326723695487608 -11.737960514816674 -9.73959588485738 303063
202 40950.83142635751 222993.39373777303 37501.77483587172 11.41843794895749 -11.41843794895749 -11.827528920430856 -9.831310138327261 301446
203 40116.310029893284 221327.18951115446 37256.50045895502 11.494983844102219 -11.494983844102219 -11.915512773162808 -9.90785603347199 298700
204 39993.06787329787 221975.08190861598 36927.85021808904 11.565207579887845 -11.565207579887845 -11.989469320128178 -9.978079769257617 298896
205 39746.524110991784 223222.2449389098 36894.230950097386 11.635533941703994 -11.635533941703994 -12.069209441231038 -10.048406131073765 299863
206 39831.77366542156 224463.3784257055 37107.847908876945 11.707021136782606 -11.707021136782606 -12.143676638751439 -10.119893326152377 301403
207 40018.220840863905 226343.36805603106 37000.41110310629 11.776048954845741 -11.776048954845741 -12.214513084670115 -10.188921144215513 303362
208 39869.49389017441 226596.1448420381 36734.36126779111 11.851265556783734 -11.851265556783734 -12.292918932610183 -10.264137746153505 303200
209 39406.90678795644 227927.1147962275 37026.97841581401 11.917672222437835 -11.917672222437835 -12.374817808565894 -10.330544411807606 304361
210 39800.279911193684 231821.81530607166 37269.904782736514 11.975122169974144 -11.975122169974144 -12.43711211537388 -10.387994359343915 308892
