# performed: 12056842 steps
# collection matrix updated: 120 times
# minimum microstate: 70
# maximum microstate: 140
# column 1: N
# column 2: CM[-1]
# column 3: CM[ 0]0
# column 4: CM[+1]
# column 5: bias
# column 6: lnpi
# column 7: forward lnpi
# column 8: reverse lnpi
# column 9: histogram
N CM[-1] CM[0] CM[1] bias lnpi Forward_lnpi Reverse_lnpi histogram
70 45891.20625563774 126014.79740531268 32554.996339048095 1.2255436616371291 -1.2255436616371291 0 0 204461
71 43799.46314343336 119970.07675218557 30484.460104378508 1.573835303615036 -1.573835303615036 -1.837689206319375 -0.34829164197790696 194254
72 42479.16064550712 117901.63268670825 30148.206667783943 1.9251256295889085 -1.9251256295889085 -2.200238718193191 -0.6995819679517794 190529
73 41536.001881432596 114787.56154368925 29356.436574877964 2.271440025888827 -2.271440025888827 -2.5430144832488892 -1.045896364251698 185680
74 40555.784223177194 113457.48964526619 28617.72613155766 2.611721691504899 -2.611721691504899 -2.890404664056806 -1.3861780298677697 182631
75 39868.20099552759 111420.19052559863 28043.60847887322 2.961537923311834 -2.961537923311834 -3.239965758014554 -1.7359942616747048 179332
76 39061.88653797699 109160.3809395285 27511.732522495393 3.3129932312844055 -3.3129932312844055 -3.5915358488313913 -2.0874495696472763 175734
77 38295.30810461827 108209.40738663293 27183.28450874857 3.655079569176401 -3.655079569176401 -3.941494826212404 -2.4295359075392717 173688
78 37329.23298958798 106303.78717628801 26383.979834124177 3.9935308216703866 -3.9935308216703866 -4.2841395763698475 -2.7679871600332575 170017
79 37405.99475065536 106036.33432911639 26469.670920228844 4.344045154717312 -4.344045154717312 -4.631534607281914 -3.118501493080183 169912
80 36946.236725523326 105122.46942454217 25992.293849933547 4.687933405354578 -4.687933405354578 -4.978090740684646 -3.4623897437174485 168060
81 36422.40367816705 104439.1099300979 25795.486391734426 5.034808557347551 -5.034808557347551 -5.32974792131656 -3.809264895710422 166657
82 36756.727885708795 104816.37788200185 25554.894232290884 5.3853379938001105 -5.3853379938001105 -5.674800362777763 -4.159794332162981 167129
83 36894.284829627155 106683.78644146868 25969.928728904204 5.738479531133635 -5.738479531133635 -6.037930129042545 -4.512935869496506 169548
84 36385.364593655286 105243.74121259798 25543.8941937467 6.089544478694121 -6.089544478694121 -6.38937089296034 -4.864000817056992 167173
85 36177.41317781854 106022.57218588384 25651.014636297226 6.433607887988098 -6.433607887988098 -6.742704311904502 -5.208064226350968 167851
86 36096.33920335683 105173.39214974207 25328.268646901302 6.78238657379705 -6.78238657379705 -7.0865915960767065 -5.5568429121599205 166598
87 36480.04638415977 106601.92694137525 25713.026674465058 7.134876621640117 -7.134876621640117 -7.44099282974925 -5.909332960002988 168795
88 35706.439329176144 105697.42370006497 25464.1369707602 7.474545419309681 -7.474545419309681 -7.790773618490334 -6.249001757672552 166868
89 35715.0116742949 106333.84829992763 25326.14002577829 7.809249804769836 -7.809249804769836 -8.128729448005673 -6.583706143132707 167375
90 35586.716162583674 106574.50734077797 25377.77649663806 8.148487199548292 -8.148487199548292 -8.472137096562761 -6.922943537911163 167539
91 36292.71163345057 108059.03425194422 25618.254114605323 8.491326518980523 -8.491326518980523 -8.809989824116114 -7.265782857343394 169970
92 36516.51116230885 110386.21075066285 26022.27808702851 8.82787615210108 -8.82787615210108 -9.157806080118402 -7.602332490463951 172925
93 36487.757442570124 109740.83090979622 25790.411647634333 9.171423675193692 -9.171423675193692 -9.496784480006818 -7.945880013556563 172019
94 35936.00363316467 109148.67692554361 25668.319441291726 9.509917083232489 -9.509917083232489 -9.842752061831902 -8.28437342159536 170753
95 35410.918679811984 108467.75228133757 25152.32903885001 9.84232891092451 -9.84232891092451 -10.17956047780867 -8.61678524928738 169031
96 35021.161054426695 107109.14794535641 25071.69100021682 10.184577069349924 -10.184577069349924 -10.522487612344312 -8.959033407712795 167202
97 34474.709884690536 106530.71601342992 24735.574101879418 10.51171599247425 -10.51171599247425 -10.856446560703986 -9.28617233083712 165741
98 34461.20204602641 105707.97138040535 24586.826573567843 10.848658883982242 -10.848658883982242 -11.188096542171206 -9.623115222345113 164756
99 34085.36959479549 105592.88329993971 24608.74710526344 11.177720114626336 -11.177720114626336 -11.525294149488301 -9.952176452989207 164287
100 33964.57107234318 105726.9054135048 24570.523514150656 11.50000439078584 -11.50000439078584 -11.850336380277886 -10.27446072914871 164262
101 33669.83845261559 105305.096084564 24073.065462821476 11.822686608331205 -11.822686608331205 -12.174803931181875 -10.597142946694076 163048
102 33578.9906033724 104710.76692750958 24062.242469117402 12.1597579472485 -12.1597579472485 -12.510204190473521 -10.93421428561137 162352
103 33246.37297014367 104477.67083935872 23960.956190496978 12.486847115662613 -12.486847115662613 -12.843214428306634 -11.261303454025484 161685
104 33737.692208006956 106718.54631933989 24122.76147265334 12.812059007702485 -12.812059007702485 -13.17070518870098 -11.586515346065356 164579
105 34387.35262492316 109725.20418812777 24989.443186948887 13.140052801703995 -13.140052801703995 -13.507410563991337 -11.914509140066865 169102
106 33467.4334242034 107268.8508593834 24305.715716413153 13.456167197615828 -13.456167197615828 -13.826307465858008 -12.2306235359787 165042
107 35694.65760986237 114997.01174559168 25804.330644545622 13.77403853681008 -13.77403853681008 -14.146623710784713 -12.54849487517295 176496
108 34815.12973020506 114011.5139645293 25652.356305264977 14.084472294588123 -14.084472294588123 -14.471128750516293 -12.858928632950994 174479
109 34624.65957557759 111732.05263515575 25202.287789267066 14.401282475182388 -14.401282475182388 -14.77610796408229 -13.175738813545259 171559
110 34235.71174186883 111973.93396591644 24896.354292214248 14.710222293555193 -14.710222293555193 -15.093760453174424 -13.484678631918063 171106
111 34077.77883716001 111761.89677012806 24767.324392711198 15.027998761604753 -15.027998761604753 -15.412659352803619 -13.802455099967624 170607
112 33618.549053589486 110254.72520873044 24566.725737679968 15.347478981789529 -15.347478981789529 -15.732910721981277 -14.1219353201524 168440
113 33471.87833696891 111711.66903559622 24722.452627434857 15.648243503559119 -15.648243503559119 -16.047291053964578 -14.42269984192199 169906
114 32922.47320876313 111453.23490704509 24732.291884190985 15.939596300111461 -15.939596300111461 -16.35019796086828 -14.714052638474332 169108
115 33012.42194267886 110653.25096742596 24309.32708989526 16.235094348642903 -16.235094348642903 -16.636763381045213 -15.009550687005772 167975
116 32618.455320983314 109767.18612615569 24231.358552859423 16.536935051879432 -16.536935051879432 -16.94269483019515 -15.311391390242303 166617
117 32056.406926378288 108797.11486774859 23711.47820587412 16.828408202679093 -16.828408202679093 -17.239022735930007 -15.602864541041962 164565
