# performed: 3601810 steps
# collection matrix updated: 36 times
# minimum microstate: 0
# maximum microstate: 70
# column 1: N
# column 2: CM[-1]
# column 3: CM[ 0]0
# column 4: CM[+1]
# column 5: bias
# column 6: lnpi
# column 7: forward lnpi
# column 8: reverse lnpi
# column 9: histogram
N CM[-1] CM[0] CM[1] bias lnpi Forward_lnpi Reverse_lnpi histogram
0 0 39584 12913 19.08197003226025 -19.08197003226025 0 0 52497
1 832.2535020285366 38711.74649797143 13201 16.335404325738352 -16.335404325738352 -1.4025214692432062 2.746565706521901 52745
2 1665.8646318722965 38734.1353681279 13541 14.243034152981664 -14.243034152981664 1.3613893096867518 4.838935879278587 53941
3 2500.601708527537 38658.398291472375 13496 12.540693574218025 -12.540693574218025 3.4567671426219952 6.541276458042228 54655
4 3333.2926809927567 38243.707319007444 13978 11.125928018233573 -11.125928018233573 5.1426291015400984 7.95604201402668 55555
5 4355.458301707864 39959.54169829245 14851 9.896899662157743 -9.896899662157743 6.576153158045644 9.185070370102508 59166
6 4944.05058580694 37737.94941419307 14104 8.838074647074343 -8.838074647074343 7.802790520573064 10.243895385185908 56786
7 5615.909973450961 37006.09002654917 14287 7.915056153821971 -7.915056153821971 8.85106401380852 11.166913878438281 56909
8 6306.0270444656035 36264.04950623497 14283.923449299135 7.098178893277427 -7.098178893277427 9.784810410464937 11.983791138982825 56854
9 6930.36673565189 35251.76083840621 14144.872425942063 6.384269538981065 -6.384269538981065 10.60243923118909 12.697700493279187 56327
10 7568.479691544334 34697.649379579154 13971.87092887647 5.760490876126549 -5.760490876126549 11.315878685071446 13.321479156133703 56238
11 8202.784503577634 34407.9351313417 14048.280365080696 5.2204602971824245 -5.2204602971824245 11.928932560201565 13.861509735077828 56659
12 8781.9640469595 32814.98558617002 13789.050366870586 4.773384371897591 -4.773384371897591 12.46695888431097 14.308585660362661 55386
13 9357.076584806518 32909.281585631834 14055.641829561526 4.36888408903408 -4.36888408903408 12.918133631664315 14.713085943226172 56322
14 9975.76116655426 32283.99820468386 13945.240628761963 4.028097989107786 -4.028097989107786 13.325024589527354 15.053872043152467 56205
15 10053.678420129789 31537.838635875993 13729.482943994295 3.716751429746677 -3.716751429746677 13.660004598727685 15.365218602513576 55321
16 10708.361784842687 31076.479326523193 13577.158888634307 3.467489926473271 -3.467489926473271 13.971611579456539 15.614480105786981 55362
17 10851.912254664474 30963.09566220433 13532.992083131183 3.243695261288397 -3.243695261288397 14.208975555291454 15.838274770971855 55348
18 11380.275128974126 30383.45117386857 13225.27369715719 3.0769536637177035 -3.0769536637177035 14.429764808254196 16.00501636854255 54989
19 11796.517693001226 31067.99739050973 13403.484916489197 2.9397599556137424 -2.9397599556137424 14.580012876280179 16.14221007664651 56268
20 12433.385435701255 31427.83216524453 13527.782399054186 2.845007752638339 -2.845007752638339 14.707433607797729 16.236962279621913 57388
21 12575.796738829633 32061.356067997887 13182.847193172614 2.76443623345621 -2.76443623345621 14.791915162125639 16.317533798804043 57820
22 12922.569143712724 31654.40325791775 12696.02759836944 2.754114101304837 -2.754114101304837 14.839102119199021 16.327855930955415 57273
23 12726.005131755635 31528.307297248964 12791.687570995417 2.760585016999223 -2.760585016999223 14.82129662317485 16.32138501526103 57046
24 12766.227179673877 31128.292047203053 12356.480773122961 2.772797192357481 -2.772797192357481 14.82629284513104 16.30917283990277 56251
25 12694.019743172446 31068.99003892688 11893.99021790084 2.8104201977010037 -2.8104201977010037 14.793284547715672 16.27154983455925 55658
26 12642.28548060869 30864.908323282474 11591.806196108626 2.881435290588418 -2.881435290588418 14.728504009608656 16.200534741671834 55099
27 12428.564321776323 30342.27818151045 11192.157496713233 2.972197206148473 -2.972197206148473 14.641618967337651 16.10977282611178 53963
28 12225.159839428401 30092.1636745953 10863.67648597651 3.074900097810219 -3.074900097810219 14.536810637477702 16.007069934450033 53181
29 12344.095789846953 29951.74581786489 10644.158392288165 3.2074068151020425 -3.2074068151020425 14.41852695709572 15.87456321715821 52940
30 12135.231982382798 29499.251611618376 10336.516405998846 3.3571383815181646 -3.3571383815181646 14.270370998864808 15.724831650742088 51971
31 11925.71733943383 29353.134190521825 9919.148470044405 3.515603408539042 -3.515603408539042 14.109579446821277 15.56636662372121 51198
32 12112.341985296294 29810.489146083677 10207.168868620058 3.697528855359127 -3.697528855359127 13.925168541732472 15.384441176901126 52130
33 12175.961277576956 29680.059111650477 9833.979610772652 3.8827948730742277 -3.8827948730742277 13.753089339575704 15.199175159186025 51690
34 11792.600767080206 29449.040003762275 9705.35922915746 4.078202237121071 -4.078202237121071 13.540170869211343 15.003767795139181 50947
35 11446.839236247024 28748.906014359607 9426.254749393542 4.269882278463707 -4.269882278463707 13.345888021797801 14.812087753796545 49622
