# performed: 37506721 steps
# collection matrix updated: 375 times
# minimum microstate: 280
# maximum microstate: 350
# column 1: N
# column 2: CM[-1]
# column 3: CM[ 0]0
# column 4: CM[+1]
# column 5: bias
# column 6: lnpi
# column 7: forward lnpi
# column 8: reverse lnpi
# column 9: histogram
N CM[-1] CM[0] CM[1] bias lnpi Forward_lnpi Reverse_lnpi histogram
280 56519.5690775087 471756.39555508905 39264.03536740264 1.1752852164856349 -1.1752852164856349 0 0 567540
281 55460.1095495455 465838.405901505 38086.48454895063 1.5352741549788802 -1.5352741549788802 -2.6711661987662936 -0.3599889384932453 559385
282 54963.60090988112 465600.7947487261 37680.60434139689 1.9041816827881681 -1.9041816827881681 -3.0469940787578533 -0.7288964663025332 558244
283 54118.4781080209 465308.59944221 36920.92244978419 2.2695206027989943 -2.2695206027989943 -3.424385220941163 -1.0942353863133594 556348
284 53901.83901749175 468380.24366903637 36804.91731348937 2.642852799922579 -2.642852799922579 -3.806711655829817 -1.467567583436944 559087
285 52924.65931174504 465454.62804000307 36088.71264826232 3.01449368720349 -3.01449368720349 -4.188326218279174 -1.839208470717855 554468
286 52265.6173982173 462666.21605019737 35240.166551590766 3.392832510356411 -3.392832510356411 -4.571452666011512 -2.2175472938707763 550172
287 51619.37320936035 463304.93522875657 34757.691561887965 3.7752275457493343 -3.7752275457493343 -4.965334220018887 -2.5999423292636994 549682
288 51245.67160249426 465823.02358873654 34148.30480877589 4.160983957987291 -4.160983957987291 -5.361215505345504 -2.985698741501656 551217
289 50944.17692346765 465868.28125396854 33751.54182257565 4.562243872274154 -4.562243872274154 -5.767189255004267 -3.3869586557885185 550564
290 50588.18149117459 471442.94871646195 33321.86979238241 4.9583065803306425 -4.9583065803306425 -6.178949047208464 -3.783021363845007 555353
291 50498.670771003184 475904.3036615683 33312.02556744223 5.3663498908656475 -5.3663498908656475 -6.596429243327332 -4.191064674380012 559715
292 49977.554099089844 474692.57920193573 33247.86669898781 5.775176170350404 -5.775176170350404 -7.012513825964771 -4.599890953864769 557918
293 49057.05158442166 472447.9201274091 32022.028288182883 6.172205675151005 -6.172205675151005 -7.420190348803951 -4.99692045866537 553527
294 49107.67577278801 473845.68792454986 31590.636302664643 6.598070688620227 -6.598070688620227 -7.846762944843311 -5.422785472134592 554544
295 51009.363634874775 501432.358178665 32818.27818646797 7.023463172668327 -7.023463172668327 -8.288086761221141 -5.848177956182692 585260
296 49874.768177826496 497006.6946362693 31961.537185927333 7.452953995052553 -7.452953995052553 -8.729188175201559 -6.277668778566918 578843
297 48688.13627688436 490816.0231258826 31207.840597238697 7.887896841699195 -7.887896841699195 -9.174118055247252 -6.71261162521356 570712
298 48173.64967592989 493082.8727147567 30348.477609343227 8.32032461618473 -8.32032461618473 -9.618845570222478 -7.145039399699094 571606
299 47361.10598027044 489006.4498617125 29908.44415802583 8.77474273951644 -8.77474273951644 -10.080744184208944 -7.5994575230308055 566276
300 46551.82298701936 491121.18701362214 29424.989999359754 9.215806097334898 -9.215806097334898 -10.540471448935877 -8.040520880849263 567098
301 45746.63854605316 486905.26413075975 28879.097323196576 9.667014222298597 -9.667014222298597 -10.999231064578614 -8.491729005812962 561531
302 45354.10985245099 485315.5561049687 27949.33404258959 10.123528271153813 -10.123528271153813 -11.45924200510158 -8.948243054668177 558619
303 43977.27314823834 482116.4084546365 27278.31839713017 10.58607295062232 -10.58607295062232 -11.943198295480235 -9.410787734136685 553372
304 43829.76693837655 481181.2168948116 26604.016166826357 11.063562122708783 -11.063562122708783 -12.420734921960591 -9.888276906223147 551615
305 42849.74051892896 478043.79004153144 26103.469439557564 11.548621396126451 -11.548621396126451 -12.920116558172493 -10.373336179640816 546997
306 42239.71818047069 481470.7840817758 25449.49773776348 12.025796419771833 -12.025796419771833 -13.415629513523168 -10.850511203286198 549160
307 42315.51287610148 484637.3630181676 25555.124105752857 12.528179120630837 -12.528179120630837 -13.922198770179135 -11.352893904145201 552508
308 42505.31084693529 491242.1941308192 24984.49502226042 13.025662484637559 -13.025662484637559 -14.426418169567981 -11.850377268151924 558732
309 41698.039245173575 488361.7354756866 24488.225279145387 13.545377721609142 -13.545377721609142 -14.957791765440128 -12.370092505123507 554548
310 41040.41663885776 489394.2279874618 24080.35537369449 14.06180218295943 -14.06180218295943 -15.490053471466082 -12.886516966473796 554515
311 39991.68345613155 483138.1382136962 23126.178330187686 14.584083450975136 -14.584083450975136 -16.0232144459205 -13.4087982344895 546256
312 38787.55928594847 475187.2973614234 22396.14335263525 15.119479416826413 -15.119479416826413 -16.570920727901434 -13.944194200340778 536371
313 37990.71435841122 469873.65590452985 21890.629737078838 15.660343865719241 -15.660343865719241 -17.120131513875172 -14.485058649233606 529755
314 36792.89718651612 464052.9420199991 21036.160793502848 16.194563128483566 -16.194563128483566 -17.67141460537694 -15.01927791199793 521882
315 36326.46055949814 461851.8556232526 20548.683817262445 16.746930421287324 -16.746930421287324 -18.230476521258964 -15.57164520480169 518727
