# performed: 29117483 steps
# collection matrix updated: 291 times
# minimum microstate: 210
# maximum microstate: 280
# column 1: N
# column 2: CM[-1]
# column 3: CM[ 0]0
# column 4: CM[+1]
# column 5: bias
# column 6: lnpi
# column 7: forward lnpi
# column 8: reverse lnpi
# column 9: histogram
N CM[-1] CM[0] CM[1] bias lnpi Forward_lnpi Reverse_lnpi histogram
210 55601.29464467161 322493.82918094663 51785.876174383295 3.6449700302971784 -3.6449700302971784 0 0 429881
211 54956.8701637184 322013.23972882924 51585.89010744618 3.7075393458390944 -3.7075393458390944 -2.116454998655289 -0.06256931554191603 428556
212 54381.887611090686 320856.6323528309 51421.48003608378 3.764792537427542 -3.764792537427542 -2.179688032735834 -0.11982250713036358 426661
213 54114.20731733584 322437.7985753569 51220.99410731106 3.813356434743333 -3.813356434743333 -2.235888905590123 -0.1683864044461547 427773
214 54319.79743127658 323232.6999475407 51350.50262118045 3.869679492690611 -3.869679492690611 -2.2910451774241523 -0.2247094623934327 428903
215 53352.73842090519 323068.9916533308 50919.26992576712 3.9116632068498816 -3.9116632068498816 -2.347406259283961 -0.2666931765527032 427341
216 53161.381475473405 322533.41723464883 50529.20128987282 3.957344763559559 -3.957344763559559 -2.394026421299044 -0.31237473326238074 426224
217 52021.45603158494 317519.6381740037 49515.9057944128 4.003192856888312 -4.003192856888312 -2.4446541083111466 -0.3582228265911329 419057
218 51108.66950838252 313692.20872871135 48615.121762909934 4.048003148328103 -4.048003148328103 -2.493791806896418 -0.40303311803092434 413416
219 50955.25593238482 315101.9757820394 48377.76828557662 4.092431937513842 -4.092431937513842 -2.543473856180782 -0.44746190721666323 414435
220 50833.632890168694 318954.3784402369 48791.988669591505 4.132010191217406 -4.132010191217406 -2.595181779937379 -0.48704016092022684 418580
221 50922.99415517061 320260.6629893374 49136.34285548886 4.170693589575796 -4.170693589575796 -2.6362172427225676 -0.5257235592786174 420320
222 50858.20074244779 322612.463168167 48632.33608938156 4.200990565143583 -4.200990565143583 -2.67220205976119 -0.5560205348464038 422103
223 50456.762560630086 322476.68859977735 48335.54883959102 4.239788709262626 -4.239788709262626 -2.7172241508805577 -0.5948186789654475 421269
224 50049.89922288452 322432.3967683003 48651.70400882098 4.274778218686873 -4.274778218686873 -2.759931295118541 -0.6298081883896938 421133
225 50506.55652492327 326425.71182285756 48441.7316522226 4.3018165514357065 -4.3018165514357065 -2.7878332304337743 -0.6568465211385277 425374
226 50054.51854906164 325693.9807554809 48501.500695448274 4.337222033194669 -4.337222033194669 -2.829366655011306 -0.6922520028974901 424250
227 50025.08830749576 328003.6974439445 48288.21424855964 4.3631856394771695 -4.3631856394771695 -2.8609710340041445 -0.7182156091799907 426317
228 49621.369367562744 331822.2460250669 48961.38460737719 4.380778153372203 -4.380778153372203 -2.896179704932093 -0.7358081230750244 430405
229 49667.78446577605 330455.93425989425 48050.28127433236 4.400213697111141 -4.400213697111141 -2.9094657854287487 -0.7552436668139624 428174
230 49106.285099877605 329394.16260737967 47678.552292747394 4.426621530881201 -4.426621530881201 -2.942530851453377 -0.7816515005840223 426179
231 48586.47976789346 329410.13801852084 47475.382213590834 4.447097555878342 -4.447097555878342 -2.9719756792124734 -0.8021275255811631 425472
232 48404.474896218366 329523.63318567973 47082.891918096844 4.467628464340752 -4.467628464340752 -2.9951363411451055 -0.8226584340435732 425011
233 47867.41257064287 330733.3919421739 47217.19548718659 4.482388408969655 -4.482388408969655 -3.0228831002941554 -0.837418378672476 425818
234 47580.76234760491 330525.6591856232 46396.57846676655 4.493208920473567 -4.493208920473567 -3.0366305188649942 -0.848238890176388 424503
235 47042.08746243833 331555.12468473066 46569.787852831534 4.505367035643129 -4.505367035643129 -3.0618444315984057 -0.8603970053459502 425167
236 47159.66789637618 333200.1023725948 46533.229731030595 4.513781970651873 -4.513781970651873 -3.0718179309434124 -0.8688119403546946 426893
237 46801.293345470855 333709.55102003715 46001.15563449546 4.52053375268695 -4.52053375268695 -3.0852868579630996 -0.8755637223897708 426512
238 45650.93705149015 328480.64751671563 45260.41543179339 4.529657603214565 -4.529657603214565 -3.1024876620633766 -0.884687572917386 419392
239 45332.50034669363 329008.26801417593 44739.231639128186 4.531980198884309 -4.531980198884309 -3.11104278255754 -0.8870101685871301 419080
240 45245.60078650126 330807.49292643875 45088.90628706115 4.538307284893548 -4.538307284893548 -3.1242141900591776 -0.8933372545963696 421142
241 45677.28951890937 336219.7902268965 45361.92025419642 4.536846889261577 -4.536846889261577 -3.1276367447653737 -0.8918768589643982 427259
242 44408.67085469765 332555.9317165838 44434.39742871831 4.529546382866144 -4.529546382866144 -3.134615808332706 -0.8845763525689652 421399
243 43667.259073078094 328142.7831870647 43081.95773985248 4.527625133429893 -4.527625133429893 -3.134108920034315 -0.8826551031327146 414892
244 43448.860000546185 329417.10924639093 43075.03075306173 4.5335753971404635 -4.5335753971404635 -3.147535731268251 -0.8886053668432847 415941
245 42450.63043390487 328317.181028089 42331.18853801108 4.525888633423094 -4.525888633423094 -3.1561878590781838 -0.8809186031259149 413099
246 42370.87606561099 327348.421431004 42414.7025033969 4.529124976610705 -4.529124976610705 -3.1590875452206273 -0.8841549463135259 412134
247 41195.8904985617 323159.0383702416 41460.071131203586 4.5153843158424785 -4.5153843158424785 -3.1579868212764524 -0.8704142855452996 405815
248 41099.144869053416 323411.26515798626 41739.589972961025 4.505502678396622 -4.505502678396622 -3.1515616215153948 -0.8605326480994435 406250
249 41133.13505596479 325918.30465269054 41139.56029134184 4.486074457920562 -4.486074457920562 -3.1360352397928644 -0.8411044276233834 408191
250 40295.2926724334 325373.8729682654 40510.834359302346 4.470264414216128 -4.470264414216128 -3.1358547376790344 -0.8252943839189495 406180
251 39797.34104295313 322045.230198083 39761.42875896554 4.463786389876541 -4.463786389876541 -3.130513121531777 -0.8188163595793618 401604
252 39214.288692468734 319847.4034065393 38922.307900988664 4.458964079707032 -4.458964079707032 -3.1313709271694083 -0.8139940494098532 397984
253 38293.47229856908 317547.5250952673 39046.002606167014 4.450502059029342 -4.450502059029342 -3.1388589659319006 -0.8055320287321628 394887
254 37852.43327101553 318586.60746859136 38256.95926039399 4.419995159547254 -4.419995159547254 -3.1194340486561423 -0.7750251292500749 394696
255 38417.607064108444 323401.739438386 38911.65349750725 4.4090858724788085 -4.4090858724788085 -3.1087709059673205 -0.7641158421816296 400731
256 38228.5373390382 327299.4827619639 38578.97989900046 4.382896536500301 -4.382896536500301 -3.096087033143295 -0.737926506203122 404107
257 38555.34474419666 329541.18764864025 38194.46760717054 4.376893490124191 -4.376893490124191 -3.086868851970568 -0.7319234598270121 406291
258 37778.58147641935 329146.7631618926 38402.65536168678 4.368306965987207 -4.368306965987207 -3.0962822551199665 -0.7233369356900283 405328
259 37292.0731148788 328017.1610693024 37493.76581582825 4.34528781701656 -4.34528781701656 -3.0799473655432426 -0.7003177867193813 402803
260 37134.82984035107 328437.3313566601 37551.838802989216 4.334931848395247 -4.334931848395247 -3.074655991998016 -0.6899618180980678 403124
261 36676.10863573277 326610.3495489135 36858.54181536448 4.318638968820089 -4.318638968820089 -3.0634842766678254 -0.6736689385229102 400145
262 36126.759746271775 327325.96392169874 36236.27633204046 4.299733613145497 -4.299733613145497 -3.05840280264505 -0.654763582848318 399689
263 36306.41648994435 330796.1466131181 36076.436896945954 4.292983473438147 -4.292983473438147 -3.0554205772000635 -0.6480134431409681 403179
264 35247.117164167896 325801.11982915085 35550.76300668653 4.2861803075704366 -4.2861803075704366 -3.0617244571185207 -0.6412102772732577 396599
265 34927.93426170144 325218.85249493376 35212.213243368176 4.271535505852544 -4.271535505852544 -3.05316328645778 -0.6265654755553651 395359
266 34332.718191784246 326465.70286068635 34779.57894753917 4.2457550867596066 -4.2457550867596066 -3.0449616464478044 -0.6007850564624277 395578
