# performed: 3755880 steps
# collection matrix updated: 37 times
# minimum microstate: 0
# maximum microstate: 70
# column 1: N
# column 2: CM[-1]
# column 3: CM[ 0]0
# column 4: CM[+1]
# column 5: bias
# column 6: lnpi
# column 7: forward lnpi
# column 8: reverse lnpi
# column 9: histogram
N CM[-1] CM[0] CM[1] bias lnpi Forward_lnpi Reverse_lnpi histogram
0 0 35177 11620 20.844161632383674 -20.844161632383674 0 0 46797
1 648.6114595389857 34089.3885404689 11700 17.96608367973045 -17.96608367973045 -1.3936731870816441 2.878077952653223 46438
2 1289.8178423241432 33431.18215767618 11518 15.765369615796383 -15.765369615796383 1.5004401515292471 5.078792016587291 46239
3 1961.9860817386773 33863.013918261044 11878 13.965277728626951 -13.965277728626951 3.688221098700131 6.878883903756721 47703
4 2656.635234744401 34161.36476525578 12426 12.435916952167682 -12.435916952167682 5.488485293342924 8.40824468021599 49244
5 3310.266446219608 33892.73355378026 12359 11.10974583749102 -11.10974583749102 7.030155556295799 9.734415794892652 49562
6 4047.2801013028898 34369.71989869707 12691 9.9614094386755 -9.9614094386755 8.345907864514738 10.882752193708173 51108
7 4413.847285954948 32399.15271404505 12273 8.946195701713863 -8.946195701713863 9.48993589743677 11.897965930669809 49087
8 4942.915816292129 31723.084183707746 12216 8.041969650342004 -8.041969650342004 10.51098987106147 12.802191982041668 48882
9 5670.478182176569 31798.521817823374 12338 7.255119153463211 -7.255119153463211 11.416001395192083 13.589042478920462 49807
10 6115.338004186162 30957.20447267204 12227.457523141793 6.5628679687744516 -6.5628679687744516 12.193962330947025 14.28129366360922 49300
11 6772.561938599537 30508.741252017575 12277.696809382893 5.966817765215506 -5.966817765215506 12.887136264949094 14.877343867168166 49559
12 7206.083493614146 29977.565194809602 12431.351311576276 5.4339028242810254 -5.4339028242810254 13.482108505505598 15.410258808102647 49615
13 7750.564604940768 29651.830726322416 12572.60466873688 4.9549370824034185 -4.9549370824034185 14.025505729780042 15.889224549980254 49975
14 8217.146749463185 30002.056529461093 12750.79672107583 4.50896475523942 -4.50896475523942 14.51014338171724 16.335196877144252 50970
15 8759.598876047628 29549.230491035403 12904.170632917083 4.127021606030182 -4.127021606030182 14.950501677004114 16.71714002635349 51213
16 9411.796738311683 29509.545067252162 12815.658194435999 3.8029400571209906 -3.8029400571209906 15.338427721323976 17.041221575262682 51737
17 10016.233499198996 29274.469102417246 12942.297398383758 3.5468720854143947 -3.5468720854143947 15.646293399952631 17.297289546969278 52233
18 10512.680270420646 30156.033694940037 13244.286034639152 3.3072090670699397 -3.3072090670699397 15.901036332968868 17.536952565313733 53913
19 11001.437243965987 30154.346620247554 13287.216135786537 3.1123936108741845 -3.1123936108741845 16.133051807939275 17.731768021509488 54443
20 11623.112465297847 30262.840935655087 13171.046599047146 2.967808000267921 -2.967808000267921 16.321300014136746 17.87635363211575 55057
21 11942.10205183308 30707.509087649658 13431.388860517216 2.850936576771835 -2.850936576771835 16.445219933482456 17.993225055611838 56081
22 12533.251788481732 30909.5369326331 13260.211278885068 2.771669345661428 -2.771669345661428 16.562900931431273 18.072492286722245 56703
23 12871.595300603523 31642.307638405204 12995.097060991277 2.72884798746218 -2.72884798746218 16.61803946243592 18.115313644921493 57509
24 13089.888315204256 31673.649609429875 13096.462075365942 2.7315323671660523 -2.7315323671660523 16.626092164821948 18.11262926521762 57860
25 13605.387395720307 32088.808256024167 12975.804348255586 2.756699430581554 -2.756699430581554 16.62615641774947 18.08746220180212 58670
26 13456.09489450986 32482.868863203883 12711.036242286216 2.793568802155337 -2.793568802155337 16.578952012360485 18.050592830228336 58650
27 13528.517014176305 31825.53121631313 12612.951769510533 2.8663498061051613 -2.8663498061051613 16.522026497917665 17.97781182627851 57967
28 13327.647983313636 31783.128862602964 12157.22315408339 2.933506192540085 -2.933506192540085 16.452681406661558 17.910655439843588 57268
