# performed: 37868825 steps
# collection matrix updated: 378 times
# minimum microstate: 280
# maximum microstate: 350
# column 1: N
# column 2: CM[-1]
# column 3: CM[ 0]0
# column 4: CM[+1]
# column 5: bias
# column 6: lnpi
# column 7: forward lnpi
# column 8: reverse lnpi
# column 9: histogram
N CM[-1] CM[0] CM[1] bias lnpi Forward_lnpi Reverse_lnpi histogram
280 37067.09613702302 410894.0910026331 36545.81286035538 3.1734954458128435 -3.1734954458128435 0 0 484507
281 36486.40826655557 408279.362808475 35898.22892498124 3.1796146406187873 -3.1796146406187873 -2.584358335746634 -0.006119194805943806 480664
282 36167.83044126907 411419.19217712287 35359.97738162494 3.1820470551286117 -3.1820470551286117 -2.60039690507298 -0.00855160931576826 482947
283 35745.85644691372 411362.2944251478 35061.84912794442 3.1953513760844423 -3.1953513760844423 -2.623448736439455 -0.021855930271598822 482170
284 34745.600776523774 405222.6588741281 33832.74034935295 3.203556835226408 -3.203556835226408 -2.6431412304413477 -0.0300613894135644 473801
285 34471.507716686945 406158.9448049701 33471.547478344495 3.2216732792022853 -3.2216732792022853 -2.669222295671851 -0.048177833389441815 474102
286 33983.45899350844 406741.43540688476 33342.10559962084 3.2380981209257502 -3.2380981209257502 -2.699206841021139 -0.06460267511290674 474067
287 33585.812729063684 406618.04242323386 32700.144847710097 3.24769145572332 -3.24769145572332 -2.719294064148624 -0.07419600991047659 472904
288 33103.960045522224 407204.335961039 32167.70399344976 3.261149407339108 -3.261149407339108 -2.745582396115349 -0.08765396152626437 472477
289 32659.748256618583 405687.0893502162 31615.16239317132 3.2817263046342635 -3.2817263046342635 -2.77489674735577 -0.10823085882142003 469961
290 32239.564258505754 410761.69100081804 31427.74474068401 3.2917527303728793 -3.2917527303728793 -2.807393849604912 -0.11825728456003581 474429
291 32073.92049113082 412617.4656247755 31176.61388410311 3.3090394452583958 -3.3090394452583958 -2.8328391015597987 -0.1355439994455523 475868
292 32025.234823633637 414663.8610536798 30518.90412270159 3.3327583650531416 -3.3327583650531416 -2.8607527819413114 -0.15926291924029812 477208
293 32044.220344283254 421667.18352354533 30818.596132168015 3.3675603654823725 -3.3675603654823725 -2.909689655445872 -0.194064919669529 484530
294 31881.13074391989 426737.30084642326 30486.568409667176 3.3914966309570715 -3.3914966309570715 -2.948325433539793 -0.21800118514422806 489105
295 31833.009376420014 428226.643861237 29813.346762357218 3.4332217518864265 -3.4332217518864265 -2.9930993552060148 -0.25972630607358305 489873
296 31525.506431344627 437156.816442563 30289.677126099352 3.470087819795891 -3.470087819795891 -3.058610950528074 -0.2965923739830476 498972
297 31621.297745976077 442902.0860012577 29764.616252772008 3.5026308352406836 -3.5026308352406836 -3.09838288426222 -0.32913538942784015 504288
298 31495.582608333487 446416.3273829814 29704.090008697753 3.552393009726364 -3.552393009726364 -3.158931746605541 -0.3788975639135206 507616
299 31357.838077889934 449330.44451268343 29447.717409432393 3.6015442829228146 -3.6015442829228146 -3.2173769308816667 -0.4280488371099711 510136
300 31081.718663635253 450051.9421629765 28911.339173401742 3.6555022411984783 -3.6555022411984783 -3.27956632950041 -0.48200679538563485 510045
301 30456.585804615715 449250.2082324939 28250.2059628988 3.711603301742823 -3.711603301742823 -3.35197929709307 -0.5381078559299795 507957
302 30057.91798693632 445538.5617389166 27496.520274162434 3.782885526384227 -3.782885526384227 -3.426992707718931 -0.6093900805713837 503093
303 29353.048584675857 442984.6852893207 26574.266126009657 3.8563358090634114 -3.8563358090634114 -3.5160458583553105 -0.682840363250568 498912
304 28852.902504317535 444159.01649535884 26292.081000329767 3.9377513740982977 -3.9377513740982977 -3.615013290630552 -0.7642559282854542 499304
305 28672.32846211559 448408.57888804347 26023.09264984559 4.016487847388003 -4.016487847388003 -3.7079433635695267 -0.8429924015751595 503104
306 28168.842295292998 443776.5683035316 25414.58940120163 4.107652313309385 -4.107652313309385 -3.804947885086566 -0.9341568674965419 497360
307 27480.91789134452 438934.34548055416 24782.736628107275 4.197738337598009 -4.197738337598009 -3.907988344674859 -1.0242428917851658 491198
308 26850.052924023763 440605.83336688875 24291.113709105153 4.276209163413773 -4.276209163413773 -4.010803940718882 -1.1027137176009294 491747
309 26922.12692564035 444707.4274866083 23880.445587763963 4.371471051365097 -4.371471051365097 -4.1107448931821775 -1.1979756055522532 495510
310 26446.657434444576 443669.81134425424 23177.53122131601 4.477707048752524 -4.477707048752524 -4.230187808145336 -1.3042116029396809 493294
311 26118.513945416544 444597.57670370507 22782.90935089354 4.5968024937123015 -4.5968024937123015 -4.3619983737753465 -1.423307047899458 493499
312 25662.801980167093 443877.5814860188 22390.616533822395 4.718807911683896 -4.718807911683896 -4.49866900696315 -1.5453124658710529 491931
313 25669.08493004751 452213.7810809313 22176.133989037455 4.838882812080261 -4.838882812080261 -4.634977940709991 -1.6653873662674172 500059
314 25712.47308073899 458997.6071537208 22184.919765553186 4.973346578741197 -4.973346578741197 -4.781148517329127 -1.799851132928353 506895
315 25164.946097197386 455886.43809657404 21462.615806239337 5.108340113593888 -5.108340113593888 -4.9288053365342215 -1.9348446677810447 502514
316 24794.269713000118 453954.7260072285 21074.00427978113 5.257905354803157 -5.257905354803157 -5.087902512630926 -2.084409908990313 499823
317 24432.29811626156 456510.3719798081 20335.329903949245 5.402628640135651 -5.402628640135651 -5.250527640144732 -2.2291331943228077 501278
318 24320.896252492363 459318.28071193356 20440.823035586774 5.576077834570151 -5.576077834570151 -5.433861700634678 -2.402582388757308 504080
319 23870.46814426345 459485.4881017339 20200.0437540181 5.7320928393382875 -5.7320928393382875 -5.607749849881582 -2.558597393525444 503556
