# performed: 46438395 steps
# collection matrix updated: 464 times
# minimum microstate: 350
# maximum microstate: 420
# column 1: N
# column 2: CM[-1]
# column 3: CM[ 0]0
# column 4: CM[+1]
# column 5: bias
# column 6: lnpi
# column 7: forward lnpi
# column 8: reverse lnpi
# column 9: histogram
N CM[-1] CM[0] CM[1] bias lnpi Forward_lnpi Reverse_lnpi histogram
350 19222.06211688131 588461.353485433 11307.584397701547 0.8857435911584692 -0.8857435911584692 0 0 618991
351 18335.3107569662 570400.1112905155 10580.577952525044 1.4014003832431088 -1.4014003832431088 -4.002617046787696 -0.5156567920846395 599316
352 18128.799246703547 573135.7175921818 10610.483161137929 1.935621346167787 -1.935621346167787 -4.552425745175642 -1.0498777550093177 601874
353 17537.207037062806 558504.2109493405 9952.582013606232 2.4648438285816994 -2.4648438285816994 -5.0880850476939035 -1.57910023742323 585994
354 16557.142620395916 541434.2890126931 9306.56836693213 3.006254210973866 -3.006254210973866 -5.654577771678596 -2.1205106198153967 567298
355 16134.53653329416 532190.0858855301 8970.377581187788 3.57428590102759 -3.57428590102759 -6.230674931792322 -2.6885423098691206 557295
356 15606.870686264505 525168.5890870779 8433.540226667514 4.142685039441442 -4.142685039441442 -6.817709263613239 -3.256941448282973 549209
357 15314.661047662641 520540.0128149414 8303.326137409169 4.74851842323063 -4.74851842323063 -7.4332038699443554 -3.8627748320721604 544158
358 14911.563016115455 514352.07335282967 7773.363631068334 5.347171855016574 -5.347171855016574 -8.045358303959892 -4.461428263858105 537037
359 14558.19752412348 507387.2930686611 7464.509407227989 5.988926937760297 -5.988926937760297 -8.696792286840061 -5.103183346601828 529410
360 13970.97170555763 493772.7676548925 7231.260639570039 6.643393778553971 -6.643393778553971 -9.364786815752083 -5.757650187395502 514975
361 13440.330460764295 478740.1822240239 6743.48731521548 7.294904894163734 -7.294904894163734 -10.023355159900834 -6.4091613030052645 498924
362 13348.847955468867 489931.1400365422 6444.01200799217 7.956342159665363 -7.956342159665363 -10.713037885613748 -7.0705985685068935 509724
363 13219.503296011055 490494.2060195135 6345.290684482831 8.67422708992706 -8.67422708992706 -11.44131664251521 -7.78848349876859 510059
364 13030.262760587937 489351.92060271464 6159.816636701746 9.396767330756457 -9.396767330756457 -12.175296990796122 -8.511023739597988 508542
365 12917.601798733745 486317.19529388484 5833.2029073936865 10.144165916527488 -10.144165916527488 -12.924524537212775 -9.258422325369018 505068
366 12808.18751039544 498276.7017789924 6054.110710630193 10.907065675438007 -10.907065675438007 -13.719549165765896 -10.021322084279538 517139
367 12851.18911951499 497611.9566934373 5725.854187059314 11.661603243047775 -11.661603243047775 -14.468896283833391 -10.775859651889306 516189
368 13219.001779152886 526992.4311112608 5948.567109604972 12.441827829322662 -12.441827829322662 -15.277340888086416 -11.556084238164193 546160
369 13342.002640754497 535509.8497352964 5834.147623969492 13.234104398132942 -13.234104398132942 -16.0758458426341 -12.348360806974473 554686
370 13169.75505689193 538585.0284819048 5649.2164612105125 14.043411036627607 -14.043411036627607 -16.903034819649644 -13.157667445469137 557404
371 13640.341002870557 560310.0331799509 5669.62581719454 14.885843407620921 -14.885843407620921 -17.749440880556648 -14.000099816462452 579620
372 13977.038506967736 579808.344434766 5687.617058290077 15.75445794250717 -15.75445794250717 -18.62734941074803 -14.8687143513487 599473
373 13376.403417758567 566563.4091577696 5465.187424483489 16.633405813004885 -16.633405813004885 -19.526473921528165 -15.747662221846417 585405
374 13125.883310043202 560991.1139877645 5031.002702197299 17.520339359922165 -17.520339359922165 -20.42156772077334 -16.634595768763695 579148
375 12614.32335208535 542773.9864129887 4829.690234926397 18.47278505794208 -18.47278505794208 -21.38053451818089 -17.58704146678361 560218
376 12773.556479468636 559823.476270053 4772.967250498593 19.415222544720056 -19.415222544720056 -22.34058512842284 -18.529478953561586 577370
377 12563.467090162834 559217.3089230678 4570.223986782016 20.384813992013726 -20.384813992013726 -23.324994085799794 -19.499070400855256 576351
378 12400.784918873705 555359.1945620471 4419.020519079312 21.390276517014758 -21.390276517014758 -24.336225034827628 -20.50453292585629 572179
379 12597.480210705427 570116.3477233325 4283.172065974552 22.41228742858715 -22.41228742858715 -25.36806673583044 -21.52654383742868 586997
380 12700.564706626636 586575.9850822281 4201.450211160916 23.47155013738215 -23.47155013738215 -26.446869674513888 -22.58580654622368 603478
381 12572.980338451798 590017.1293988586 4175.890262692429 24.562236848729757 -24.562236848729757 -27.55308637801594 -23.676493257571288 606766
382 12515.379188967861 598995.0527782136 4053.5680328327976 25.645471793309813 -25.645471793309813 -28.655308899690272 -24.759728202151344 615564
383 12739.035177397203 620926.804174962 4026.1606476524526 26.75525602124384 -26.75525602124384 -29.782669633843284 -25.869512430085372 637692
384 12545.2976342938 614311.9016167356 3768.8007489855713 27.90321554485381 -27.90321554485381 -30.934730240761176 -27.017471953695342 630626
385 12915.084301575085 641279.1040438584 3873.811654587635 29.092654333279544 -29.092654333279544 -32.13779889212398 -28.206910742121075 658068
386 12255.835643030858 609725.3999687796 3554.7643882070433 30.295350086788577 -30.295350086788577 -33.342133169970964 -29.409606495630108 625536
387 12160.096103436135 610726.1596768671 3406.7442197190394 31.524009084375283 -31.524009084375283 -34.57984669361389 -30.638265493216814 626293
388 12589.371983266687 641570.8155837011 3510.8124330498263 32.78259887840082 -32.78259887840082 -35.85286325689993 -31.896855287242353 657671
389 12463.082188552316 643714.4041036258 3347.51370785277 34.04683962234945 -34.04683962234945 -37.130139192410745 -33.161096031190986 659526
390 11966.421514655765 627532.1901305981 3105.388354749203 35.3465018474596 -35.3465018474596 -38.443986828111086 -34.46075825630113 642604
391 11980.730446483696 633480.7804105887 3056.489142945734 36.68626247229552 -36.68626247229552 -39.792705158424766 -35.80051888113705 648518
392 11715.90556109292 622343.3512258896 2922.743213034952 38.04812561058155 -38.04812561058155 -41.15805991168577 -37.162382019423085 636982
393 11739.056966640772 628079.5717966364 2862.3712367445555 39.42904886452696 -39.42904886452696 -42.54624873840354 -38.543305273368496 642681
394 11876.550236528392 649926.3522914357 2765.0974720485947 40.819643258099504 -40.819643258099504 -43.9592350593364 -39.93389966694104 664568
395 12560.289472789505 698037.5923146993 2953.118212527779 42.26261906716671 -42.26261906716671 -45.41565057050032 -41.376875476008244 713551
396 12187.66223240299 696428.3609147012 2878.976852911801 43.68276615198156 -43.68276615198156 -46.864456686872536 -42.797022560823095 711495
397 11711.492612293301 668267.3821974924 2540.125190219938 45.12858432578836 -45.12858432578836 -48.307054490802834 -44.242840734629894 682519
398 11892.663256036629 687301.8906976515 2507.4460463344853 46.64563289229614 -46.64563289229614 -49.83733588537036 -45.759889301137676 701702
399 12559.423496088806 714651.4413893602 2585.135114569683 48.21636721025638 -48.21636721025638 -51.39300246285203 -47.33062361909791 729796
400 12415.175918597588 715427.7417813587 2424.082300053005 49.783973323561234 -49.783973323561234 -52.97275925920021 -48.89822973240277 730267
401 11923.819637025936 706740.9063339075 2275.2740290773995 51.3888288007311 -51.3888288007311 -54.60546049334275 -50.50308520957263 720940
402 12285.166333267907 729528.7409450322 2363.0927217386657 53.043479790884724 -53.043479790884724 -56.26185854076034 -52.15773619972626 744177
403 12386.11828030375 745947.7319887531 2165.1497309444226 54.67860259158089 -54.67860259158089 -57.910650410422164 -53.792859000422425 760499
404 11528.842049764447 703276.8862790648 2027.2716711864541 56.4100225930458 -56.4100225930458 -59.65453692432041 -55.52427900188734 716833
405 12014.867736313801 748607.0197358981 2036.1125277902743 58.12672315058624 -58.12672315058624 -61.39180661187566 -57.24097955942777 762658
406 12079.108946808483 753462.618355907 2005.2726972976384 59.90094949962489 -59.90094949962489 -63.16699339636651 -59.01520590846643 767547
407 12126.106665466787 767858.3974405614 1996.4958939706366 61.681180050950104 -61.681180050950104 -64.96190619932932 -60.79543645979164 781981
408 12121.042081147647 771863.7232087064 1822.2347101612384 63.47984864565374 -63.47984864565374 -66.76587331246131 -62.59410505449527 785807
409 12213.069051040522 786705.382316026 1826.548632935346 65.36346031799586 -65.36346031799586 -68.66075265909137 -64.47771672683739 800745
410 12104.504371326637 777375.4731606245 1727.0224680659353 67.26659268695524 -67.26659268695524 -70.5608310779632 -66.38084909579676 791207
411 12194.275073602817 798155.3758088747 1719.349117544977 69.1951347790044 -69.1951347790044 -72.50800991442492 -68.30939118784593 812069
412 12076.711433822999 798722.1195532153 1672.1690129878093 71.143972993637 -71.143972993637 -74.46703070059245 -70.25822940247852 812471
413 12044.47798364342 810602.6008393397 1632.9211770351944 73.10402763929102 -73.10402763929102 -76.44418802986108 -72.21828404813255 824280
